panoid	pixel_error	gt_flow_u_min	gt_flow_v_min	gt_flow_u_mean	gt_flow_v_mean	gt_flow_mag_min	gt_flow_mag_max	gt_flow_mag_mean
1255	2.7379007	1.6601756e-05	7.532537e-06	7.457013	7.4455	0.0093227485	38.85894	11.453978
28441	2.5095077	9.451993e-06	1.4044344e-06	20.32277	21.10419	0.017575039	81.63851	32.199413
23006	1.0713099	3.1264499e-06	1.7508864e-07	1.1794838	1.3071111	0.0016117637	7.817217	1.9625063
38930	2.9521527	2.5443733e-06	2.937764e-05	8.324887	10.828324	0.0012226047	48.275337	15.038083
16460	2.1158292	4.0493906e-06	7.5250864e-06	3.461261	3.0604916	0.0019591518	15.76302	5.2476025
16454	1.9856304	2.1466985e-06	1.3373792e-06	2.1083648	1.8060192	0.00018522628	11.395011	3.1494343
35716	1.7227511	2.5748275e-05	7.1153045e-07	16.47367	15.641661	0.008394002	45.908424	24.816578
9561	1.7909793	1.7679296e-05	4.157424e-06	15.218134	14.6445055	0.025486397	51.57689	23.381338
74764	5.2937922	8.077361e-06	2.0340085e-05	5.0556464	7.30667	0.011598165	21.28748	9.55193
17097	2.3082871	7.621944e-06	9.123236e-06	12.637599	12.868304	0.008526005	64.647675	19.592583
13280	1.9540102	1.2614764e-05	0.26108265	3.267435	5.951531	0.4302954	24.609539	7.032715
12972	1.5757596	4.7683716e-06	0.0001341626	14.241933	14.110238	0.022009447	47.962723	22.076452
11136	1.1963402	5.086884e-06	1.4305115e-05	6.7330723	6.4674654	0.011229028	32.087315	10.177172
50618	1.8378795	1.4975667e-06	1.1399388e-06	2.0960038	1.723873	0.0032083248	11.778492	3.023887
41702	1.7664227	6.692484e-06	2.488494e-06	2.686	3.0817928	0.0032796874	9.993658	4.579142
25132	2.9118295	2.338551e-06	7.729977e-06	6.0924654	4.7036366	0.0074826665	29.369001	8.510304
7721	1.7599844	3.0995347e-05	1.0766089e-05	5.2639575	4.22181	2.5953493	18.602482	7.4577303
10982	1.4961281	2.4197623e-05	1.2464821e-05	16.831022	16.46706	0.03457872	60.18486	25.711624
13170	1.3955144	2.7325004e-05	4.6379864e-06	13.990052	12.796412	0.011216205	51.87933	20.535784
35470	2.0227926	6.0964376e-06	8.419156e-07	4.9908323	6.276347	0.004041713	30.644306	8.6963625
2948	1.7930328	1.0613352e-05	6.531179e-05	20.34661	20.104366	0.036938917	64.54422	30.938545
54358	3.9077382	2.1960586e-06	2.1349639e-05	7.444053	8.478995	0.00088687666	35.81678	12.236442
51834	1.6013514	1.273118e-06	9.045005e-06	4.5322604	6.848886	0.00889108	20.358578	9.25811
21822	1.3714582	7.088296e-06	1.0766089e-06	2.9991593	2.9103413	0.0050372467	18.952917	4.608547
32384	5.817173	3.1126663e-05	2.1792948e-06	8.551422	6.398957	0.008042837	50.2917	11.555679
37776	1.936652	2.7380884e-07	6.7427754e-07	2.8604014	3.4090912	0.006258025	10.914347	4.989362
14721	1.4564377	5.0775707e-06	8.7171793e-07	2.7127852	3.0865052	0.0019374427	14.565658	4.515275
28618	1.4263632	2.8597191e-05	9.88096e-05	18.578245	18.15226	0.019447764	54.295704	28.104603
48110	2.0208342	1.0468066e-05	1.4230609e-06	3.6616476	4.007755	0.0060370336	11.967356	5.7515135
25732	2.8593073	4.5141205e-06	1.5720725e-05	11.2117	10.027712	0.017167134	50.745792	16.52281
64993	2.2112558	1.13621354e-07	1.244247e-06	2.8151817	2.8537767	0.005521627	14.025162	4.375484
22796	2.1729462	5.871989e-06	3.747642e-06	5.829401	7.2244067	0.009590528	19.809553	10.206789
28607	2.2875774	2.456922e-05	1.1585653e-06	18.437971	19.455915	0.0408738	67.159744	29.011284
807	7.1588774	3.413111e-05	3.620237e-05	20.598925	21.2233	0.014609246	90.23523	32.35882
72972	1.9342107	2.1476299e-06	8.08388e-07	4.2899556	3.4939203	0.0057901014	16.903502	6.021187
13776	1.2799604	4.9691647e-05	3.270805e-05	13.480599	13.617905	0.02375397	42.82235	21.276941
27308	1.7388788	5.4328702e-05	2.3316592e-05	15.889542	15.721149	0.03142387	50.273235	25.442732
2823	1.5143919	2.6864931e-05	5.9083104e-06	14.927352	15.012539	0.03123705	54.293793	22.90371
27251	2.0722113	5.2452087e-06	4.842505e-05	3.7636518	4.5417814	0.0052850326	24.341465	6.6345673
16906	1.9060603	3.5565346e-05	4.5448542e-07	16.133781	15.883866	0.0063288934	74.10957	24.708855
13809	1.8754755	4.377216e-06	1.2293458e-07	1.4290637	2.6458354	0.0010477544	8.776746	3.2470632
13242	2.5650797	2.644956e-07	7.174909e-06	3.0310473	2.0563152	0.007201475	10.991241	3.8487005
73022	1.6583555	8.177012e-07	2.0489097e-06	2.5938382	2.50003	0.0029687071	14.489618	3.8933191
33468	3.1099215	1.5894882e-05	2.644956e-06	6.1069202	4.991977	0.0088347765	43.76831	8.526035
17624	2.7131088	1.2172386e-06	2.7511269e-05	13.1269455	12.782447	0.021002635	59.64021	20.404737
2634	2.100579	7.4850395e-06	1.8570572e-05	7.018247	7.9142222	0.016622195	28.079279	11.457557
65564	2.725596	4.7534704e-06	1.719594e-05	8.287352	8.368867	0.0069925487	36.322205	13.401349
16022	3.0411713	2.4074689e-06	1.3127923e-05	8.931852	7.9264007	0.014858812	44.168068	13.092172
23100	1.1677538	3.9748847e-06	7.0743263e-06	5.6544547	5.5598726	0.0115648825	17.132097	8.662122
15212	1.1333055	6.81635e-06	6.0610473e-06	12.772601	12.753242	0.013601473	50.35066	19.815088
27245	2.1173835	2.9606745e-06	7.82311e-06	3.2169483	3.6672058	0.009529653	14.322561	5.4138
7680	5.2634797	5.2992254e-06	0.00011845678	29.520525	24.894184	0.036316473	163.13344	42.88176
7702	2.815073	4.951842e-06	4.6460905	5.520297	18.815626	6.3119226	43.968994	19.958311
25742	3.136054	5.4286793e-06	1.3373792e-05	12.538582	13.513192	0.014765315	62.959026	19.904564
12374	1.2730266	1.4482066e-06	1.8332154e-05	4.1830993	3.4184332	0.0032022144	11.725591	6.01246
47218	2.576747	1.2293458e-07	3.5390258e-06	3.2630246	4.701709	0.0063510425	19.740751	6.1942534
41012	4.0776887	7.423386e-05	8.9779496e-07	11.217621	7.9743967	0.004548661	29.3848	15.071876
74762	3.092266	2.4270266e-06	1.0579824e-06	7.587823	4.7030168	0.0043966356	24.3921	10.148228
47176	1.5364468	4.3347478e-05	2.6598573e-06	6.288351	2.0796826	0.23605461	11.458775	6.7378254
8459	5.98313	5.8216974e-06	1.5601516e-05	26.557613	31.528425	0.03905846	88.16016	45.779465
38236	2.2501032	4.318077e-05	1.6398728e-05	16.534542	15.778372	0.019403443	50.535522	25.069975
15098	14.720013	4.2682514e-06	2.0101666e-05	10.11287	18.17134	0.37038758	54.535748	23.167635
28537	9.02625	8.342788e-06	4.2464584e-05	17.435467	21.759367	0.03272742	75.78718	29.739454
27521	1.3162547	1.7480925e-06	6.187707e-06	6.5010505	6.169815	0.001287445	26.719408	9.713043
23962	2.8792582	9.461306e-06	1.2241304e-05	13.2633915	15.419489	0.007241755	80.91261	22.393978
74756	3.4860818	1.0523945e-07	5.4500997e-06	1.6243864	3.5166702	1.6381652	11.212957	4.2266445
17396	4.6320662	1.0568649e-05	5.7645142e-05	25.669159	28.192398	0.02455088	119.07071	41.90551
72825	33.213917	2.6077032e-07	5.1036477e-06	4.062185	3.7137647	0.006736166	21.732748	6.251711
27451	12.362446	6.821938e-06	2.1979213e-07	21.348745	20.819044	0.03597404	90.18205	32.333645
81681	4.1381865	1.6722828e-05	1.0691583e-05	17.550768	18.309513	0.018995069	84.32997	27.504763
41576	1.6668319	2.6831403e-06	5.0216913e-06	7.7922497	8.481012	0.00240964	33.634716	12.553913
3083	1.7195405	1.0216609e-06	7.636845e-07	2.1908696	1.8729934	0.0028782203	9.499383	3.1552477
32770	2.7601426	1.0332093e-05	3.4254044e-05	12.61863	12.198539	0.015742447	35.914997	19.087341
24738	3.0360148	1.4916994e-05	5.1371753e-06	3.9300635	4.860522	0.0026727968	18.377352	6.7247186
